GaugeLID,Location,Latitude,Longitude,Waterbody,State,Action,Flood,Moderate,Major,LowThresh,LowThreshU
AFMA3,Mayer,34.315278,-112.063333,Agua Fria River,AZ,,,,,,ft
AFRA3,Rock Springs,34.015556,-112.167938,Agua Fria River,AZ,15,16,19,24,,ft
AFRI1,American Falls,42.77889,-112.87694,Eastern Idaho Reservoirs,ID,,,,,,ft
AFRL1,Sandy Creek at Forbes Rd near Greenwell Springs,30.621111,-90.982222,Amite River Basin,LA,,,,,,ft
AFRV2,Alexandria,38.843333,-77.085833,Four Mile Run,VA,6,12,15,18,,ft
AFTW3,Afton,42.613611,-89.0715,Rock River,WI,8,9,11.1,12.2,,ft
AGAK1,Augusta,37.670556,-96.98,Walnut River,KS,21,23,28,36,,ft
AGCC1,Agua Caliente,38.323333,-122.493333,Sonoma Creek,CA,16,,,,,ft
AGCS2,Sioux Falls,43.602222,-96.731389,Silver Creek,SD,5,6,8.5,10,,ft
AGGC1,22nd Street Bridge,35.095556,-120.607222,Arroyo Grande Creek,CA,29,,,,,ft
AGNI4,Algona,43.08268,-94.230608,East Fork Des Moines River,IA,13,17,18,22,,ft
AGNO3,Agness,42.578442,-124.058314,Rogue River,OR,14,17,42,49,,ft
AGPM5,Agassiz Pool,48.321667,-95.975556,Thief River,MN,,,,,,ft
AGRI4,St. Ansgar,43.355278,-92.925278,Cedar River,IA,11,14,,,,ft
AGRM6,Agricola 4E,30.803333,-88.458611,Escatawpa River,MS,16,18,,,,ft
AGSI4,Augusta,40.753611,-91.276944,Skunk River,IA,14,15,17,20,,ft
AGSK1,Augusta,37.679722,-96.996111,Whitewater River (KS),KS,19,21,25,30,,ft
AGSM8,Augusta,47.601667,-112.753611,Sun River,MT,4724,,,,,ft
AGYM5,Argyle,48.340278,-96.816111,Middle River,MN,,,,,,ft
AGYM7,Agency,39.688056,-94.7025,Platte River,MO,15,20,25,30,,ft
AHLV2,Ashland,37.796667,-77.549167,South Anna River,VA,,12,,,,ft
AHOC1,San Jose,37.4617,-121.7683,Arroyo Hondo,CA,,,,,,ft
AHSN7,Ahoskie,36.280278,-76.999444,Ahoskie Creek,NC,,,,,,ft
AHUW1,Union Gap,46.536111,-120.472222,Ahtanum Creek,WA,,,,,,ft
AIBP4,Aibonito,18.160278,-66.228889,Rio De La Plata,PR,15,20,25,30,,ft
AICL1,Avoca Island Cutoff at 12SSW Morgan City,29.538611,-91.245833,Atchafalaya River,LA,,,,,,ft
AICN5,Abiquiu,36.237222,-106.4175,Rio Chama,NM,4.8,5.4,5.8,6.3,,ft
AICT2,Alice,27.772222,-98.033333,San Fernando Creek,TX,4,12,13,15,,ft
AKDA4,Arkadelphia,34.121111,-93.046111,Ouachita River,AR,16,17,24,27,,ft
AKFM7,Akers,37.375556,-91.5525,Current River,MO,4,,,,,ft
AKLA2,Auke Bay,58.383056,-134.634722,Auke Lake,AK,,,,,,ft
AKLN6,Arkport,42.395833,-77.716667,Canisteo River,NY,1304,,,,,ft
AKNI4,Ankeny US 69,41.779472,-93.60111,Fourmile Creek (Central IA),IA,,,,,,ft
AKRI4,Akron,42.8375,-96.561667,Big Sioux River,IA,14,16,18,20,,ft
AKWI4,Ackworth,41.337216,-93.486325,South River (South Central IA),IA,26,29,30,32,,ft
AKYC1,Kyburz,38.763611,-120.3275,South Fork American River,CA,,,,,,ft
ALAC2,Alamosa,37.480833,-105.878056,Rio Grande,CO,7,9,11,13,,ft
ALAG1,Alapaha,31.384167,-83.1925,Alapaha River,GA,220,223,226,,,ft
ALAL1,Algiers Lock,29.916111,-89.971111,Mississippi River,LA,,,,,,ft
ALAQ9,Aishihik,61.590278,-137.411111,Aishihik Lake,AK,,,,,,ft
ALAT2,Aquilla Lake,31.899722,-97.2025,North Texas Lakes,TX,,,,,,ft
ALBC1,D Street,38.003333,-122.128889,Alhambra Creek,CA,,,,,,ft
ALBK1,Albert,38.461667,-99.014444,Walnut Creek (KS),KS,22,24,25,25.7,,ft
ALBN6,Albany,42.646111,-73.7475,Hudson River,NY,9,11,13,15,,ft
ALBO3,Albany,44.638611,-123.106978,Willamette River,OR,21.6,25,30,32,,ft
ALBW3,Albany,42.705833,-89.437778,Sugar River,WI,8,12,13,14,,ft
ALCG1,Lawrenceville,33.9175,-83.888056,Alcovy River,GA,7,9,11,16,,ft
ALCN4,Atlantic City,39.353333,-74.456944,Inside Thorofare,NJ,5.4,5.9,6.9,7.9,,ft
ALCT1,Alcoa,35.808889,-83.926667,Little River (TN),TN,,,,,,ft
ALDN1,Alda,40.854722,-98.474167,Wood River,NE,9,10,11,12.2,,ft
ALDN7,North Fork New River/Ashland,36.438333,-81.654167,North Fork New River,NC,5,,,,,ft
ALDP1,Aldenville,41.674444,-75.376389,Lackawaxen River,PA,5.5,6.5,7.5,8.5,,ft
ALDW2,Alderson,37.724167,-80.641667,Greenbrier River,WV,9,14,16,19,,ft
ALEA2,Dry Bay,59.190556,-138.422778,Alsek River,AK,,,,,,ft
ALEC2,Almont,38.664444,-106.8475,East River (CO),CO,6.3,7,8,10,,ft
ALEK1,Abilene,38.929722,-97.227778,Mud Creek (KS),KS,10,15,27,33,,ft
ALEV2,Highway 1 at Alexandria,38.840278,-77.053333,Four Mile Run,VA,4,7,10,12,,ft
ALFC1,Fremont,37.566667,-122.006111,Alameda Creek,CA,,,,,,ft
ALFW1,Albeni Falls Dam,48.178889,-116.999722,Pend Oreille River,ID,85,95,120,130,,ft
ALGL1,Alto,32.3744,-91.8808,Boeuf River,LA,24,25,33,38,,ft
ALIS1,YORK,35.065,-81.138333,Allison Creek,SC,12,14,19,22,,ft
ALKC1,Almaden Reservoir,37.1577,-121.8436,Alamitos Creek,CA,,,,,,ft
ALKH1,Kamuela,20.071111,-155.670833,Alakahi Stream,HI,,7,,8.7,,ft
ALKP1,Analomink,41.084722,-75.215,Brodhead Creek,PA,7,8,9,11,,ft
ALKT2,Lake Austin,30.293889,-97.785,Colorado River (TX),TX,,,,,,ft
ALKV2,BOYDTON-ALLEN CREEK,36.679444,-78.326944,Allen Creek,VA,,15,,,,ft
ALLA2,Allakaket,66.565278,-152.6425,Koyukuk River,AK,23,26,28,30,,ft
ALLA4,ALLISON DCP,35.939167,-92.114167,White River,AR,,,,,,ft
ALLL1,Alligator Bayou near Kleinpeter,30.320833,-91.02,Amite River Basin,LA,,,,,,ft
ALLM1,Allagash,47.069722,-69.079444,Allagash River,ME,12,15,17,19,,ft
ALLN4,Allenwood,40.146667,-74.122222,Manasquan River,NJ,13.5,14.5,,,,ft
ALLP1,Allentown,40.582222,-75.483333,Little Lehigh Creek,PA,5,6,8,10,,ft
ALMA3,Alamo Lake,34.230854,-113.608819,Bill Williams River,AZ,1235,1235,,1265,,ft
ALMK1,Alta Mills,38.112222,-97.591944,Little Arkansas River,KS,20,22,25,27,,ft
ALMM4,Alma,43.379444,-84.655556,Pine River,MI,7,8,10,12,,ft
ALMW3,Alma,44.326389,-91.919167,Mississippi River,WI,10,16,17,18,,ft
ALNI2,Mel Price (Alton) Lock and Dam,38.866389,-90.146389,Mississippi River,IL,19,21,29,34,,ft
ALNP1,Allentown,40.623056,-75.482778,Jordan Creek,PA,6,8,10,11,,ft
ALOI4,Waterloo,42.495542,-92.334352,Cedar River,IA,8.5,13,19,21,,ft
ALOT2,Alto,31.6717,-94.9525,Angelina River,TX,28.5,29,31,33,,ft
ALPI3,Alpine,39.579444,-85.158056,West Fork Whitewater River,IN,13,17,20,21.5,,ft
ALPW4,Alpine,43.196111,-110.889444,Snake River,WY,,,,,,ft
ALQC1,Pleasanton,37.694444,-121.919444,Alamo CN,CA,,,,,,ft
ALQF1,Pleasant Ridge at Nelson Road,30.668889,-86.186667,Alaqua Creek,FL,51,54,58,61,,ft
ALSM4,Alston,46.726389,-88.661944,Sturgeon River,MI,7.5,8,11,14,,ft
ALSQ9,Bates River,60.119167,-137.974167,Alsek River,AK,31.5,32.5,34,,,ft
ALSV2,Allisonia,36.9375,-80.745833,New River,VA,6,8,11,14,,ft
ALTC2,Almont,38.664444,-106.844722,Taylor River,CO,4.2,5,6.5,8,,ft
ALTF1,Altha (CR 274),30.533889,-85.165278,Chipola River,FL,18,22,23,30,,ft
ALTI4,Alton,42.981944,-96.000833,Floyd River,IA,10,12,16,18,,ft
ALTO2,Lake Altus at Lugert,34.885556,-99.295278,North Fork of the Red River,OK,,,,,,ft
ALTS1,Alston,34.243056,-81.319722,Broad River in NC/SC,SC,11.5,20,25,30,,ft
ALTV2,Altavista,37.104444,-79.295556,Roanoke River,VA,16,18,24,29,,ft
ALVK2,Alvaton,36.895278,-86.380556,Drakes Creek,KY,22,24,35,42,3.6,ft
ALVM5,Alvarado,48.195,-97.005,Snake River (09020309),MN,105,106,108,110,,ft
ALWP1,Allenwood,41.1081,-76.89,West Branch Susquehanna River,PA,,,,,,ft
ALXN6,Alexandria Bay NOS,44.33,-75.933056,St. Lawrence River,NY,,,,,,ft
ALXO2,Alex,34.9258,-97.7736,Washita River,OK,24,28,29,31,,ft
ALXW3,Alexander Dam,45.188056,-89.755,Wisconsin River,WI,1256,1259,1261,1263,,ft
ALYM7,Alley Spring,37.148167,-91.443083,Jacks Fork,MO,5.3,9,12,16,1.7,ft
AMAT2,Amarillo,35.470278,-101.879167,Canadian River,TX,6,7,10,15,,ft
AMBN1,Amboy,40.088889,-98.435278,Elm Creek (trib. to Republican River),NE,15,17,22,25,,ft
AMBW3,Amberg,45.5,-88,Pike River,WI,4.5,6.5,8,9,,ft
AMCK1,Americus,38.466944,-96.250278,Neosho River,KS,21,26,27,40,,ft
AMCO2,Ames,36.21833,-98.25444,Cimarron River,OK,9,10,11,13,,ft
AMCS2,Aberdeen,45.470556,-98.453611,Moccasin Creek,SD,5,6,,,,ft
AMEI4,Ames W Riverside Rd,42.066513,-93.620134,South Skunk River,IA,11,12.5,16,16.5,,ft
AMEN8,Amenia,47.015278,-97.213611,Maple River (09020205),ND,,,,,,ft
AMFI1,Neeley,42.767508,-112.879475,Snake River,ID,,,,,,ft
AMIL1,Amite,30.728889,-90.484167,Tangipahoa River,LA,18,21,25,30,,ft
AMIT2,Lake Amistad,29.47,-101.03,Rio Grande,TX,,1120,1122,1125,,ft
AMRL1,Amerada Pass,29.449444,-91.338056,Tide Station (LCH),LA,2.57,4,5,6,-1,ft
AMRW1,Nile,46.977778,-121.1675,American River (WA),WA,,,,,,ft
AMTI3,Amity,39.418889,-86.005,Youngs Creek,IN,5,7,10,14,1.5,cfs
AMTT2,Aspermont 10S,33.008158,-100.180659,Brazos River,TX,19,21,35,37,,ft
AMWI4,Ames Lincoln Way,42.022544,-93.63043,Squaw Creek (Central IA),IA,8,10,14,15.5,,ft
AMYM6,Amory,33.985556,-88.551111,Tombigbee River,MS,19,20,25,33,,ft
ANAD2,Washington Aquatic Gardens,38.914444,-76.950278,Anacostia River,DC,3.5,,,,,ft
ANAV2,Annandale,38.812778,-77.228611,Accotink Creek,VA,8,9.5,11,15,,ft
ANAW1,Anatone,46.097222,-116.976667,Snake River (WA),WA,19,20,23,24,,ft
ANDI1,Anderson Ranch Dam,43.343611,-115.4775,South Fork Boise River,ID,,,,,,ft
ANDI3,Anderson,40.105556,-85.671111,White River (IN),IN,7.8,10,15,19,0.03,kcfs
ANDM3,Andover,42.671389,-71.149722,Shawsheen River,MA,28,29,32,35,,ft
ANDM8,Anaconda,46.13367,-112.903,Warm Springs Creek,MT,4,4.4,,,,ft
ANDO2,Anadarko,35.084167,-98.243056,Washita River,OK,17,19,21,23,,ft
ANFN5,North Floodway Channel near Alameda,35.198056,-106.599722,AMAFCA,NM,,,,,,ft
ANGM6,Anguilla,32.9717,-90.777,Big Sunflower River,MS,44,45,48,50,,ft
ANGS2,Angostura Reservoir,43.343333,-103.438056,Cheyenne River,SD,3187.2,,,,,ft
ANKI4,Ankeny NE 86th Ave,41.717377,-93.570133,Fourmile Creek (Central IA),IA,,,,,,ft
ANKM5,Hwy 610 in Brooklyn Park,45.126667,-93.296667,Mississippi River,MN,,,,,2300,cfs
ANNM4,Ann Arbor,42.2875,-83.733333,Huron River,MI,13.5,16,17,18,,ft
ANNM7,Annapolis,37.336111,-90.788611,Black River,MO,6,8,15,25,,ft
ANNS2,Lead,44.326944,-103.893889,Annie Creek,SD,8,10,11,13,,ft
ANSI4,Anamosa Shaw Rd,42.083333,-91.2675,Wapsipinicon River,IA,13,14.5,18,21.5,,ft
ANTA2,Anchorage,61.233889,-149.883889,Anchorage,AK,,,,,,ft
ANTI1,St Anthony,43.966822,-111.672619,Henrys Fork,ID,6.5,7,8.2,11,,ft
ANTO2,Antlers,34.248611,-95.605,Kiamichi River,OK,24,25,29,35,,ft
ANTT1,Antioch,36.081667,-86.680556,Mill Creek,TN,12,14,17,20,,ft
ANVC1,at Arena Cove,38.9133,-123.708,Tide Station (Mendocino Co),CA,,,,,,ft
ANVN7,Valley River @ Andrews,35.205833,-83.817778,Valley River,NC,,,,,,ft
ANYW2,4h/Anthony,37.919167,-80.259444,Anthony Creek,WV,7,10,,,,ft
AOBC1,Middlefield Road,37.4224,-122.1105,Adobe Creek,CA,4,,6,,,ft
AODC1,East Meadow Drive,37.4281,-122.1139,Adobe Creek,CA,8.7,12,,,,ft
APAM2,Annapolis,38.983056,-76.48,Severn River,MD,2,2.4,3.3,6,,ft
APAP1,Allentown,40.596389,-75.474444,Little Lehigh Creek,PA,6,8,10,12,,ft
APBA2,Anchor Point,59.772222,-151.836389,Anchor River,AK,13.5,15.5,17,18,,ft
APCC1,Napa,38.367778,-122.302222,Napa River,CA,22,25,26,28,,ft
APCF1,Apalachicola,29.726667,-84.981667,Gulf of Mexico Tide Gauge,FL,1.7,3,4.8,7.2,-1.25,ft
APHG1,Alpharetta,34.050556,-84.269444,Big Creek,GA,6,7,11,13,,ft
APLO3,Applegate Reservoir,42.056944,-123.108333,Applegate River,OR,,,,,,ft
APLW3,Appleton,44.248056,-88.423056,Fox River (North),WI,7,8.4,9,10.5,,ft
APNC2,Aspen,39.18,-106.801389,Roaring Fork River (CO),CO,4,5,7,9,,ft
APPM5,Appleton,45.202778,-96.022222,Pomme De Terre River,MN,,,,,,ft
2-Apr,Hanover,42.252778,-90.285833,Apple River,IL,19,20,,,,ft
APRO3,Applegate,42.241511,-123.140049,Applegate River,OR,12,13,15,17,,ft
APSN7,Apex,35.718611,-78.7525,Swift Creek,NC,9,11,16,,,ft
APSV2,New Alexandria Storm Water Pumping Station - Downstream,38.776389,-77.058611,Unnamed Tributary,VA,4,5.5,6.5,7.5,,ft
APTA2,New Sterling Hwy,59.747222,-151.753056,Anchor River,AK,7,8,9,11,,ft
AQLT2,Aquilla,31.812222,-97.2975,Brazos River,TX,27,29,32,35,,ft
AQPI3,Angola,41.634444,-85.109722,Pigeon Creek,IN,10,11,12,13,,ft
ARAN1,Furnas-Gosper County Line,40.351111,-99.955278,Muddy Creek,NE,30,32,33,35,,ft
ARAQ9,Aishihik Lake,61.184444,-136.99,Aishihik River,AK,,,,,,ft
ARBO2,Lake of the Arbuckles,34.430556,-97.030556,Rock Creek (OK),OK,,,,,,ft
ARCC1,Arcata,40.91,-124.059444,Mad River,CA,15,22,24,28,,ft
ARCC2,Rocky Ford,38.064444,-103.69,Arkansas River,CO,8,10,11,12,,ft
ARCF1,Arcadia,27.221944,-81.876111,Peace River (FL),FL,9,11,14,16,,ft
ARCG1,Armuchee,34.360833,-85.140278,Armuchee Creek,GA,16,19,25,32,,ft
ARCI1,Arco,43.582253,-113.270556,Big Lost River,ID,,,,,,ft
ARCK1,Arkansas City,37.0375,-97.039167,Arkansas River,KS,9,11,17,21,,ft
ARCT2,Arthur City,33.875,-95.501667,Red River,OK,25,27,30,33,,ft
ARCW3,Arcadia,44.254167,-91.505278,Trempealeau River,WI,6,8,9,10,,ft
ARDW1,Ardenvoir,47.818611,-120.421944,Entiat River,WA,6,7.5,8,9,,ft
AREP4,Arecibo,18.422778,-66.699444,Rio Grande De Arecibo,PR,8,11,13,17,,ft
ARFN5,Farmington,36.7225,-108.201944,Animas River,NM,9,10,12,14,,ft
ARGA2,Galbraith Lake,68.452778,-149.368333,Atigun River,AK,,,,,,
ARGP4,Utuado,18.335833,-66.667778,Lago Dos Bocas,PR,295,,,,,ft
ARGW1,Arlington,48.261667,-122.046389,North Fork Stillaguamish River,WA,,13,14,15,,ft
ARHF1,Arcadia,27.199167,-81.988611,Horse Creek (FL),FL,10,12,14.5,16,,ft
ARHP1,Archbald,41.504444,-75.5425,Lackawanna River,PA,6.2,8,9,10,,ft
ARHT2,Lake Kickapoo,33.663056,-98.778611,Little Wichita River,TX,,,,,,ft
ARKA1,Smith Dam,33.942222,-87.107778,Black Warrior River,AL,,,,,,ft
ARKK1,Arkansas City,37.056389,-97.025556,Walnut River,KS,16,18,22,28,,ft
ARKM6,Arkabutla Dam,34.757222,-90.124444,Coldwater River,MS,,238.3,240,244,,ft
ARLN6,Babylon,40.708611,-73.328333,Carlls River,NY,,,,,,ft
ARLT1,Arlington,35.310833,-89.639444,Loosahatchie River,TN,19,20,22,24,,ft
ARLV1,Arlington,43.077222,-73.157222,Battenkill,VT,5,6,7,9,,ft
ARLW1,Arlington,48.203611,-122.128056,Stillaguamish River,WA,,14,17.5,19,,ft
ARMG1,Armuchee,34.371667,-85.263889,Heath Creek,GA,6,8,12,16,,ft
ARMO1,S.R. 148 at Armstrong Mills,39.906667,-80.936111,Captina Creek,OH,,,,,,ft
ARNF1,Arran,30.188056,-84.408333,Lost Creek (FL),FL,23,26,32,35,,ft
ARNK1,Arnold,38.8075,-100.022222,Smoky Hill River,KS,6,7,9,11,,ft
ARNM7,Arnold,38.456667,-90.360556,Meramec River,MO,22,24,35,38,,ft
AROC1,Chittenden,36.900278,-121.717222,Pajaro River,CA,25,32,32.5,33.1,,ft
ARPN1,Arapahoe,40.306389,-99.911389,Muddy Creek,NE,22,24,27,29.5,,ft
ARRC1,Greenfield,36.2375,-121.480556,Arroyo Seco (Monterey),CA,13,,15,,,ft
ARRN7,Ararat,36.404444,-80.561944,Ararat River,NC,10,13,17,21,,ft
ARRT2,Lake Arrowhead,33.764167,-98.371389,Little Wichita River,TX,,,,,,ft
ARSA4,Arkansas City,33.5515,-91.2384,Mississippi River,AR,36,37,40,44,,ft
ARTA1,Ariton (US 231),31.594722,-85.783056,Pea River,AL,8,14,17,25,,ft
ARTN6,Watertown,43.985556,-75.925,Black River,NY,8,10,12,14,,ft
ARTT1,Arthur,36.541667,-83.630278,Powell River,TN,15,17,22,26,,ft
ARTT2,Aspermont 13N,33.333889,-100.237778,Salt Fork - Brazos River,TX,10,12,24,25,,ft
ARVA3,Mammoth,32.844167,-110.629444,Aravaipa Creek,AZ,10.8,12.8,15.8,16,,ft
ARVV2,Arvonia,37.702778,-78.377778,Slate River,VA,10,12,,,,ft
ARVW4,Arvada,44.65,-106.126944,Powder River (WY-MT),WY,,,,,,ft
ARWO3,Wilderville,42.354167,-123.405556,Applegate River,OR,12,13,15,18,,ft
ASBL1,Abita Springs at Hwy 36,30.481667,-90.039444,Abita River,LA,,,,,,ft
ASBM4,Au Sable,44.435833,-83.441111,Au Sable River,MI,,,,,,ft
ASCN4,Absecon,39.422778,-74.499444,Absecon Creek,NJ,5,5.5,6.5,7.5,,ft
ASDN1,Ashland,41.039123,-96.364077,Salt Creek,NE,14,16,20,23,,ft
ASEN6,Ashokan Reservoir East,41.950278,-74.208333,Esopus Creek,NY,587.1,589,590,591,,ft
ASFN6,Au Sable Forks,44.4375,-73.681111,East Branch of the Ausable River,NY,6,7,9,11,,ft
ASHF1,Sneads Smokehouse Lake,30.595833,-83.720833,Aucilla River,FL,81,,,,,ft
ASHK2,Ashland,38.481389,-82.6375,Ohio River,KY,50,52,56.6,65.5,,ft
ASLM8,Ashland at Brandenberg Bridge,45.840386,-106.223433,Tongue River,MT,,,,,,ft
ASLN1,Ashland,41.062336,-96.324408,Platte River,NE,19,20,22,26,,ft
ASNC1,Simi Valley,34.2775,-118.795556,Arroyo Simi,CA,,,,,,ft
ASNN1,Ashland,41.053468,-96.367835,Wahoo Creek,NE,17,19,20,,,ft
ASPC1,Pasedena,34.222222,-118.176667,Arroyo Seco,CA,,,,,,ft
ASRT2,Asherton,28.5,-99.681667,Nueces River,TX,18,20,24,27,,ft
ASTF1,Astor,29.166667,-81.522222,St. Johns River,FL,2.5,2.8,3.5,4.5,-0.05,ft
ASTM1,Augusta,44.318611,-69.7717,Kennebec River,ME,10,12,25,30,,ft
ASTM5,Austin,43.655833,-92.970833,Cedar River,MN,12,15,18,20,,ft
ASTN1,Ashland,41.051745,-96.338285,Salt Creek,NE,19,20,23,26,,ft
ASTO3,Tongue Pt near Astoria,46.208333,-123.766667,Columbia River,OR,,,,,,ft
ATBT2,Chireno,31.504167,-94.304167,Attoyac Bayou,TX,13.5,14,22,26,,ft
ATCI4,Atlantic,41.346101,-95.076936,East Nishnabotna River,IA,15,19,23,24,,ft
ATCK1,Atchison,39.560278,-95.113611,Missouri River,KS,19,22,27,30,,ft
ATCN5,Anton Chico,35.178611,-105.108889,Pecos River,NM,12,15,20,24,,ft
ATCP1,Atcheson,40.1725,-80.388333,Buffalo Creek (Wash Co),PA,4,6,12,,,ft
ATGM1,Bar Harbor,44.39167,-68.20917,Frenchman Bay,ME,14,,,,,ft
ATGV2,New Alexandria Tide Gate,38.776389,-77.055556,Unnamed Tributary,VA,4,5.5,6.5,7.5,,ft
ATHO1,Athens,39.328889,-82.087778,Hocking River,OH,18,20,22,28,,ft
